Type,Name,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,
Scout,Bruce Allen,60,WAS,2,2,1,3,3,3,2,1,,,,,,,,,,,,,,,,,,
Scout,Ryan Pace,42,CHI,2,5,1,1,4,4,4,3,,,,,,,,,,,,,,,,,,
Scout,Bob Quinn,43,DET,2,3,5,1,3,2,4,1,,,,,,,,,,,,,,,,,,
Scout,Brian Gutekunst,45,GB,4,2,3,3,3,1,4,1,,,,,,,,,,,,,,,,,,
Scout,Rick Spielman,56,MIN,4,5,5,1,3,4,5,5,,,,,,,,,,,,,,,,,,
Scout,Thomas Dimitroff,52,ATL,3,4,4,2,1,5,4,3,,,,,,,,,,,,,,,,,,
Scout,Marty Hurney,54,CAR,3,3,1,2,4,5,4,1,,,,,,,,,,,,,,,,,,
Scout,Mickey Loomis,55,NO,2,4,4,3,3,1,4,4,,,,,,,,,,,,,,,,,,
Scout,Jason Licht,48,TB,2,3,4,3,1,3,0,2,,,,,,,,,,,,,,,,,,
Scout,Steve Keim,46,ARI,4,5,3,1,3,3,4,2,,,,,,,,,,,,,,,,,,
Scout,Les Snead,48,LAR,3,4,3,1,5,5,3,4,,,,,,,,,,,,,,,,,,
Scout,John Lynch,47,SF,3,2,4,2,3,4,1,2,,,,,,,,,,,,,,,,,,
Scout,John Schneider,48,SEA,5,1,3,2,3,5,4,3,,,,,,,,,,,,,,,,,,
HC,Sean McDermott,46,BUF,Balanced,4-3 Zone,2,4,2,4,4,3,1,,,,,,,,,,,,,,,,,
OC,Brian Daboll,45,BUF,Balanced,*,2,1,1,0,2,2,-1,,,,,,,,,,,,,,,,,
DC,Leslie Frazier,61,BUF,Balanced,Tampa 2,1,4,1,4,3,4,2,,,,,,,,,,,,,,,,,
HC,Brian Flores,39,MIA,Balanced,Hybrid,3,1,2,1,2,2,1,,,,,,,,,,,,,,,,,
OC,Chan Gailey,68,MIA,Balanced,*,3,1,3,1,3,3,3,,,,,,,,,,,,,,,,,
DC,Josh Boyer,43,MIA,*,Hybrid,0,2,0,2,3,3,0,,,,,,,,,,,,,,,,,
HC,Bill Belichick,68,NE,Spread Pocket,Hybrid,3,4,5,4,5,5,4,,,,,,,,,,,,,,,,,
OC,Josh McDaniels,44,NE,West Coast,*,5,1,4,1,1,2,2,,,,,,,,,,,,,,,,,
DC,Greg Schiano,53,NE,West Coast,Hybrid,1,3,1,4,3,3,1,,,,,,,,,,,,,,,,,
HC,Adam Gase,42,NYJ,West Coast,3-4 Man,3,3,1,3,3,1,-1,,,,,,,,,,,,,,,,,
OC,Dowell Loggains,39,NYJ,West Coast,*,3,0,3,0,1,2,-1,,,,,,,,,,,,,,,,,
DC,Gregg Williams,61,NYJ,*,3-4 Man,0,4,0,4,2,1,-1,,,,,,,,,,,,,,,,,
HC,John Harbaugh,57,BAL,Spread Run,Zone Blitz,3,4,3,4,5,4,3,,,,,,,,,,,,,,,,,
OC,Greg Roman,47,BAL,Balanced,*,3,1,3,1,3,3,0,,,,,,,,,,,,,,,,,
DC,Wink Martindale,56,BAL,*,Zone Blitz,1,3,1,3,5,2,1,,,,,,,,,,,,,,,,,
HC,Zac Taylor,37,CIN,West Coast,4-3 Zone,2,2,3,2,2,2,1,,,,,,,,,,,,,,,,,
OC,Brian Callahan,34,CIN,West Coast,*,2,1,2,1,1,0,-1,,,,,,,,,,,,,,,,,
DC,Lou Anarumo,53,CIN,*,4-3 Zone,1,3,1,4,2,2,-1,,,,,,,,,,,,,,,,,
HC,Kevin Stefanski,37,CLE,West Coast,4-3 Man,3,1,3,1,3,4,1,,,,,,,,,,,,,,,,,
OC,Alex Van Pelt,50,CLE,West Coast,*,2,0,2,0,2,2,2,,,,,,,,,,,,,,,,,
DC,Joe Woods,49,CLE,*,4-3 Man,3,3,3,3,2,2,2,,,,,,,,,,,,,,,,,
HC,Mike Tomlin,48,PIT,Balanced,Zone Blitz,2,4,2,5,5,4,4,,,,,,,,,,,,,,,,,
OC,Randy Fichtner,56,PIT,Balanced,*,3,0,3,0,3,3,1,,,,,,,,,,,,,,,,,
DC,Keith Butler,64,PIT,*,Zone Blitz,0,4,0,3,2,3,1,,,,,,,,,,,,,,,,,
HC,Bill O'Brien,50,HOU,Spread Run,3-4 Zone,4,2,4,2,2,4,3,,,,,,,,,,,,,,,,,
OC,Tim Kelly,32,HOU,Spread Run,*,3,0,3,0,3,3,0,,,,,,,,,,,,,,,,,
DC,Anthony Weaver,39,HOU,*,3-4 Zone,1,2,1,3,4,2,0,,,,,,,,,,,,,,,,,
HC,Frank Reich,58,IND,Spread Pocket,Tampa 2,2,1,2,1,2,2,0,,,,,,,,,,,,,,,,,
OC,Nick Sirianni,38,IND,Spread Pocket,*,2,0,2,0,0,2,1,,,,,,,,,,,,,,,,,
DC,Matt Eberflus,50,IND,*,Tampa 2,0,4,0,3,2,1,1,,,,,,,,,,,,,,,,,
HC,Doug Marrone,55,JAX,Balanced,4-3 Zone,4,3,4,3,2,3,3,,,,,,,,,,,,,,,,,
OC,Jay Gruden,53,JAX,West Coast,*,5,1,4,1,3,3,2,,,,,,,,,,,,,,,,,
DC,Todd Wash,51,JAX,*,4-3 Zone,0,3,0,3,3,3,0,,,,,,,,,,,,,,,,,
HC,Mike Vrabel,44,TEN,Balanced,3-4 Zone,1,3,1,3,4,2,1,,,,,,,,,,,,,,,,,
OC,Arthur Smith,37,TEN,Power Run,*,3,1,4,1,3,3,1,,,,,,,,,,,,,,,,,
DC,Dean Pees,70,TEN,*,3-4 Zone,0,3,0,3,3,3,1,,,,,,,,,,,,,,,,,
HC,Vic Fangio,61,DEN,West Coast,3-4 Mix,0,2,0,3,4,2,0,,,,,,,,,,,,,,,,,
OC,Pat Shurmur,55,DEN,West Coast,4-3 Zone,4,2,3,2,2,0,3,,,,,,,,,,,,,,,,,
DC,Ed Donatell,63,DEN,*,3-4 Mix,0,3,0,3,2,3,1,,,,,,,,,,,,,,,,,
HC,Andy Reid,62,KC,West Coast,3-4 Zone,5,2,5,2,4,5,5,,,,,,,,,,,,,,,,,
OC,Eric Bieniemy,50,KC,West Coast,*,3,0,3,0,2,3,1,,,,,,,,,,,,,,,,,
DC,Steve Spagnuolo,60,KC,*,3-4 Zone,2,4,1,4,3,3,1,,,,,,,,,,,,,,,,,
HC,Anthony Lynn,51,LAC,Spread Run,4-3 Zone,3,1,3,1,3,3,2,,,,,,,,,,,,,,,,,
OC,Shane Steichen,35,LAC,Spread Run,*,3,0,3,0,2,2,0,,,,,,,,,,,,,,,,,
DC,Gus Bradley,53,LAC,Balanced,4-3 Zone,1,4,1,4,2,2,1,,,,,,,,,,,,,,,,,
HC,Jon Gruden,56,LV,West Coast,4-3 Zone,4,2,5,2,5,4,4,,,,,,,,,,,,,,,,,
OC,Greg Olson,57,LV,West Coast,*,3,0,3,0,2,2,-1,,,,,,,,,,,,,,,,,
DC,Paul Guenther,48,LV,*,4-3 Zone,0,3,0,2,2,2,-1,,,,,,,,,,,,,,,,,
HC,Mike McCarthy,57,DAL,Balanced,Tampa 2,4,1,3,1,2,3,3,,,,,,,,,,,,,,,,,
OC,Kellen Moore,31,DAL,Balanced,*,3,1,3,0,4,3,1,,,,,,,,,,,,,,,,,
DC,Mike Nolan,61,DAL,West Coast,Tampa 2,2,3,1,3,2,3,3,,,,,,,,,,,,,,,,,
HC,Joe Judge,38,NYG,Spread Pocket,Hybrid,4,2,4,2,3,2,2,,,,,,,,,,,,,,,,,
OC,Jason Garrett,54,NYG,Balanced,*,4,1,3,1,2,3,2,,,,,,,,,,,,,,,,,
DC,Patrick Graham,42,NYG,West Coast,Hybrid,1,2,1,2,2,2,0,,,,,,,,,,,,,,,,,
HC,Doug Pederson,52,PHI,West Coast,4-3 Man,4,2,4,2,3,4,3,,,,,,,,,,,,,,,,,
OC,Mike Groh,48,PHI,West Coast,*,3,0,3,0,2,4,1,,,,,,,,,,,,,,,,,
DC,Jim Schwartz,53,PHI,*,4-3 Man,1,4,1,4,2,4,2,,,,,,,,,,,,,,,,,
HC,Ron Rivera,58,WAS,Balanced,4-3 Zone,2,4,2,4,5,3,1,,,,,,,,,,,,,,,,,
OC,Scott Turner,37,WAS,Balanced,*,3,2,2,2,2,3,1,,,,,,,,,,,,,,,,,
DC,Jack Del Rio,57,WAS,Balanced,Tampa 2,3,4,3,4,1,3,5,,,,,,,,,,,,,,,,,
HC,Matt Nagy,42,CHI,West Coast,3-4 Mix,4,1,3,1,2,2,1,,,,,,,,,,,,,,,,,
OC,Bill Lazor,47,CHI,West Coast,*,3,2,3,2,3,3,2,,,,,,,,,,,,,,,,,
DC,Chuck Pagano,59,CHI,*,3-4 Mix,0,4,0,3,4,1,1,,,,,,,,,,,,,,,,,
HC,Matt Patricia,45,DET,Balanced,Hybrid,0,3,1,5,4,4,1,,,,,,,,,,,,,,,,,
OC,Darrell Bevell,50,DET,Balanced,*,4,0,3,1,3,2,1,,,,,,,,,,,,,,,,,
DC,Corey Undlin,48,DET,*,Hybrid,0,4,0,2,2,2,0,,,,,,,,,,,,,,,,,
HC,Matt LaFleur,40,GB,West Coast,3-4 Mix,4,2,4,1,3,4,1,,,,,,,,,,,,,,,,,
OC,Nathaniel Hackett,40,GB,West Coast,*,3,1,4,1,5,3,0,,,,,,,,,,,,,,,,,
DC,Mike Pettine,53,GB,*,3-4 Mix,0,4,1,3,3,3,1,,,,,,,,,,,,,,,,,
HC,Mike Zimmer,63,MIN,West Coast,4-3 Man,2,5,1,5,3,5,3,,,,,,,,,,,,,,,,,
OC,Gary Kubiak,58,MIN,West Coast,4-3 Man,4,2,4,2,4,3,4,,,,,,,,,,,,,,,,,
DC,Adam Zimmer,36,MIN,*,4-3 Man,1,3,1,3,3,3,0,,,,,,,,,,,,,,,,,
HC,Dan Quinn,49,ATL,Balanced,4-3 Zone,2,4,2,5,4,2,2,,,,,,,,,,,,,,,,,
OC,Dirk Koetter,61,ATL,Balanced,*,4,1,3,1,2,1,1,,,,,,,,,,,,,,,,,
DC,Raheem Morris,43,ATL,*,4-3 Zone,0,2,0,2,2,2,1,,,,,,,,,,,,,,,,,
HC,Matt Rhule,45,CAR,Spread Run,Hybrid,3,1,3,2,4,2,2,,,,,,,,,,,,,,,,,
OC,Joe Brady,30,CAR,Spread Pocket,*,3,1,3,1,4,3,1,,,,,,,,,,,,,,,,,
DC,Phil Snow,64,CAR,*,Hybrid,0,2,0,2,2,3,2,,,,,,,,,,,,,,,,,
HC,Sean Payton,56,NO,Vertical,4-3 Zone,5,2,4,2,4,4,4,,,,,,,,,,,,,,,,,
OC,Pete Carmichael,48,NO,Vertical,*,2,0,2,0,5,2,1,,,,,,,,,,,,,,,,,
DC,Dennis Allen,47,NO,*,4-3 Zone,1,5,1,5,2,4,2,,,,,,,,,,,,,,,,,
HC,Bruce Arians,67,TB,Spread Pocket,3-4 Mix,4,2,4,3,3,3,4,,,,,,,,,,,,,,,,,
OC,Byron Leftwich,40,TB,Spread Pocket,*,2,0,3,0,1,3,1,,,,,,,,,,,,,,,,,
DC,Todd Bowles,56,TB,*,3-4 Mix,1,4,0,3,3,1,2,,,,,,,,,,,,,,,,,
HC,Kliff Kingsbury,40,ARI,Spread Pocket,3-4 Mix,4,3,4,3,2,2,2,,,,,,,,,,,,,,,,,
OC,Tom Clements,66,ARI,Spread Pocket,*,3,0,3,0,1,3,0,,,,,,,,,,,,,,,,,
DC,Vance Joseph,47,ARI,0,3-4 Mix,0,2,0,4,3,3,1,,,,,,,,,,,,,,,,,
HC,Sean McVay,34,LAR,Spread Run,3-4 Man,5,2,5,2,5,5,5,,,,,,,,,,,,,,,,,
OC,Kevin O'Connell,34,LAR,Spread Run,*,2,0,2,0,4,4,1,,,,,,,,,,,,,,,,,
DC,Brandon Staley,37,LAR,*,3-4 Man,0,3,0,3,1,3,1,,,,,,,,,,,,,,,,,
HC,Kyle Shanahan,40,SF,Spread Run,4-3 Mix,5,0,4,0,3,4,3,,,,,,,,,,,,,,,,,
OC,John Embree,54,SF,Spread Run,*,3,0,3,1,3,3,0,,,,,,,,,,,,,,,,,
DC,Robert Saleh,41,SF,*,4-3 Mix,1,3,0,2,3,3,1,,,,,,,,,,,,,,,,,
HC,Pete Carroll,68,SEA,Balanced,4-3 Zone,2,4,2,5,5,3,4,,,,,,,,,,,,,,,,,
OC,Brian Schottenheimer,46,SEA,Balanced,*,3,0,3,0,3,2,1,,,,,,,,,,,,,,,,,
DC,Ken Norton Jr.,53,SEA,*,4-3 Zone,0,3,0,4,3,2,1,,,,,,,,,,,,,,,,,
QB,Nick Foles,31,CHI,3,8000000,-2,51,51,69,69,75,75,63,63,51,51,75,50,51,51,,,,,,,,,
QB,Tyler Bray,29,CHI,1,500000,-2,50,51,74,75,73,74,51,52,41,41,75,30,37,41,,,,,,,,,
QB,Mitchell Trubisky,26,CHI,1,7260000,-2,69,72,87,90,77,80,55,59,51,55,86,51,51,51,,,,,,,,,
QB,Andy Dalton,33,DAL,1,7180000,-2,54,54,74,74,77,77,65,65,52,52,92,47,50,52,,,,,,,,,
QB,Ryan Finley,26,CIN,3,540000,-2,61,63,79,82,69,72,51,53,43,45,77,41,42,43,,,,,,,,,
QB,Joe Burrow,24,CIN,4,500000,-2,51,54,63,66,88,91,75,82,54,59,57,49,52,54,,,,,,,,,
QB,Matt Barkley,30,BUF,1,2000000,-2,52,52,64,64,59,59,59,59,51,51,75,47,50,51,,,,,,,,,
QB,Davis Webb,25,BUF,2,500000,-2,59,62,77,80,71,74,57,60,42,45,71,50,45,42,,,,,,,,,
QB,Josh Allen,24,BUF,2,5690000,-2,69,72,85,88,98,101,59,64,54,59,75,54,54,54,,,,,,,,,
QB,Jake Fromm,22,BUF,4,500000,-2,48,51,85,88,61,64,65,70,43,46,73,47,44,43,,,,,,,,,
QB,Jeff Driskel,27,DEN,2,2500000,-1,71,73,82,84,65,67,46,47,46,47,77,46,46,46,,,,,,,,,
QB,Drew Lock,24,DEN,3,1750000,-2,67,70,80,83,77,80,57,62,51,55,84,49,50,51,,,,,,,,,
QB,Case Keenum,32,CLE,3,6000000,-2,59,59,73,73,67,67,55,55,50,50,71,45,48,50,,,,,,,,,
QB,Garrett Gilbert,29,CLE,1,500000,-2,54,55,72,73,54,55,43,43,40,40,69,39,40,40,,,,,,,,,
QB,Baker Mayfield,25,CLE,2,8170000,-2,65,68,84,87,86,89,63,68,48,52,82,51,49,48,,,,,,,,,
QB,Blaine Gabbert,31,TB,1,1190000,-2,65,65,79,79,63,63,54,54,51,51,80,47,50,51,,,,,,,,,
QB,Tom Brady,43,TB,2,25000000,-2,43,43,70,70,80,80,82,82,90,90,98,73,84,90,,,,,,,,,
QB,Ryan Griffin,31,TB,1,3600000,-2,46,46,63,63,55,55,52,52,48,48,80,41,46,48,,,,,,,,,
QB,Brett Hundley,27,ARI,1,1050000,-1,71,73,84,87,73,75,54,56,49,50,80,47,48,49,,,,,,,,,
QB,Kyler Murray,23,ARI,3,8790000,-1,82,85,90,93,78,81,57,63,49,54,77,46,48,49,,,,,,,,,
QB,Tyrod Taylor,31,LAC,1,5500000,-1,77,77,92,92,75,75,54,54,48,48,78,47,48,48,,,,,,,,,
QB,Easton Stick,25,LAC,3,500000,-1,71,74,91,94,67,70,51,54,44,46,84,45,44,44,,,,,,,,,
QB,Justin Herbert,22,LAC,4,500000,-2,69,72,81,84,90,93,69,79,45,51,71,50,47,45,,,,,,,,,
QB,Chad Henne,35,KC,2,1630000,-2,46,46,61,61,59,59,53,53,51,51,77,46,49,51,,,,,,,,,
QB,Patrick Mahomes,25,KC,1,4110000,-2,63,66,88,91,92,95,90,97,94,100,88,80,89,94,,,,,,,,,
QB,Philip Rivers,39,IND,1,25000000,-2,46,46,59,59,73,73,84,84,77,77,96,63,72,77,,,,,,,,,
QB,Jacoby Brissett,28,IND,1,15000000,-2,63,65,82,84,80,82,61,63,53,55,80,52,53,53,,,,,,,,,
QB,Jacob Eason,23,IND,4,500000,-2,51,54,74,77,88,91,57,61,43,46,77,48,45,43,,,,,,,,,
QB,Dak Prescott,27,DAL,1,31410000,-2,67,69,84,87,75,77,67,69,69,71,90,62,67,69,,,,,,,,,
QB,Cooper Rush,27,DAL,1,1250000,-2,54,56,69,71,65,67,48,49,45,46,84,42,44,45,,,,,,,,,
QB,Ben DiNucci,24,DAL,4,500000,-2,28,28,66,67,55,56,69,70,48,48,77,40,45,48,,,,,,,,,
QB,Ryan Fitzpatrick,38,MIA,1,5500000,-2,51,51,72,72,73,73,65,65,61,61,78,51,58,61,,,,,,,,,
QB,Josh Rosen,23,MIA,2,4400000,-2,54,57,67,70,78,81,55,61,48,53,73,47,48,48,,,,,,,,,
QB,Tua Tagovailoa,22,MIA,4,7570000,-2,63,66,70,73,94,97,73,83,43,49,80,45,44,43,,,,,,,,,
QB,Carson Wentz,28,PHI,5,32000000,-2,63,66,82,85,80,83,75,79,67,70,71,62,65,67,,,,,,,,,
QB,Nate Sudfeld,27,PHI,1,2000000,-2,54,56,61,63,71,73,52,54,45,46,80,44,45,45,,,,,,,,,
QB,Jalen Hurts,22,PHI,4,500000,-2,65,68,65,68,77,80,73,77,45,47,63,47,46,45,,,,,,,,,
QB,Matt Ryan,35,ATL,4,30000000,-2,51,51,69,69,77,77,80,80,78,78,96,66,74,78,,,,,,,,,
QB,Matt Schaub,39,ATL,1,1890000,-2,46,46,53,53,54,54,51,51,57,57,61,48,54,57,,,,,,,,,
QB,Jimmy Garoppolo,29,SF,3,27500000,-2,53,55,77,79,78,80,75,77,80,82,86,65,75,80,,,,,,,,,
QB,C.J. Beathard,27,SF,1,500000,-2,57,59,77,80,65,68,51,53,42,44,73,42,42,42,,,,,,,,,
QB,Colt McCoy,34,NYG,1,2250000,-2,54,54,81,81,57,57,54,54,54,54,77,43,50,54,,,,,,,,,
QB,Alex Tanney,33,NYG,1,500000,-2,51,51,75,75,57,57,49,49,39,39,77,38,39,39,,,,,,,,,
QB,Daniel Jones,23,NYG,3,6420000,-2,69,72,83,86,75,78,59,65,51,56,75,50,51,51,,,,,,,,,
QB,Joshua Dobbs,25,JAX,1,500000,-2,69,72,86,89,69,72,55,58,46,48,69,48,47,46,,,,,,,,,
QB,Gardner Minshew II,24,JAX,3,500000,-2,57,60,79,82,69,72,57,60,54,57,82,49,52,54,,,,,,,,,
QB,Jake Luton,24,JAX,4,500000,-2,51,52,69,70,71,72,69,70,43,43,35,41,42,43,,,,,,,,,
QB,David Fales,30,NYJ,1,500000,-2,52,52,65,65,59,59,54,54,43,43,84,42,43,43,,,,,,,,,
QB,Sam Darnold,23,NYJ,2,7560000,-2,57,60,81,84,77,80,61,68,55,62,77,50,53,55,,,,,,,,,
QB,James Morgan,23,NYJ,4,500000,-2,45,48,59,62,59,62,59,63,35,37,82,38,36,35,,,,,,,,,
QB,Matthew Stafford,32,DET,3,27000000,-2,53,53,74,74,88,88,69,69,65,65,78,59,63,65,,,,,,,,,
QB,Chase Daniel,34,DET,3,4350000,-2,54,54,73,73,63,63,54,54,53,53,80,45,50,53,,,,,,,,,
QB,Aaron Rodgers,37,GB,4,33500000,-2,57,57,82,82,88,88,77,77,82,82,80,67,77,82,,,,,,,,,
QB,Tim Boyle,26,GB,1,500000,-2,63,66,82,85,69,72,50,52,49,51,69,45,48,49,,,,,,,,,
QB,Jordan Love,22,GB,4,500000,-1,71,74,91,94,88,91,54,60,51,57,77,50,51,51,,,,,,,,,
QB,Teddy Bridgewater,28,CAR,3,21000000,-2,65,68,85,88,69,72,65,68,54,57,67,48,52,54,,,,,,,,,
QB,Will Grier,25,CAR,3,960000,-2,57,60,81,84,73,76,53,56,41,43,78,42,41,41,,,,,,,,,
QB,Brian Hoyer,35,NE,1,1050000,-2,48,48,67,67,61,61,55,55,53,53,69,47,51,53,,,,,,,,,
QB,Jarrett Stidham,24,NE,3,500000,-2,59,62,75,78,75,78,50,53,45,48,71,43,44,45,,,,,,,,,
QB,Derek Carr,29,LV,3,25000000,-2,65,67,81,83,82,84,69,71,63,65,84,55,60,63,,,,,,,,,
QB,Marcus Mariota,27,LV,2,8800000,-1,77,80,89,92,77,80,55,58,46,49,65,46,46,46,,,,,,,,,
QB,DeShone Kizer,24,LV,1,500000,-2,57,60,78,81,77,80,51,55,41,44,86,45,42,41,,,,,,,,,
QB,Nathan Peterman,26,LV,1,2130000,-2,57,59,80,83,59,61,48,50,41,43,77,41,41,41,,,,,,,,,
QB,Jared Goff,26,LAR,5,33500000,-2,57,60,75,78,78,81,71,76,53,57,80,51,52,53,,,,,,,,,
QB,John Wolford,25,LAR,1,500000,-2,34,36,62,65,57,60,69,72,41,43,50,43,42,41,,,,,,,,,
QB,Robert Griffin III,30,BAL,1,2000000,-1,71,73,84,87,75,77,47,48,52,54,57,46,50,52,,,,,,,,,
QB,Lamar Jackson,23,BAL,2,2370000,0,92,95,95,98,84,87,67,75,84,94,84,71,80,84,,,,,,,,,
QB,Trace McSorley,25,BAL,3,500000,-1,75,78,84,87,69,72,47,49,40,42,75,39,40,40,,,,,,,,,
QB,Kyle Allen,24,WAS,1,500000,-2,65,68,75,78,71,74,61,65,50,53,78,45,48,50,,,,,,,,,
QB,Dwayne Haskins,23,WAS,3,3600000,-2,54,57,83,86,78,81,61,67,50,55,82,50,50,50,,,,,,,,,
QB,Drew Brees,41,NO,2,25000000,-2,48,48,68,68,71,71,94,94,96,96,96,74,89,96,,,,,,,,,
QB,Jameis Winston,26,NO,1,1100000,-2,59,62,80,83,80,83,67,72,54,58,92,55,54,54,,,,,,,,,
QB,Taysom Hill,30,NO,2,16300000,-1,80,80,83,83,69,69,50,50,57,57,63,50,55,57,,,,,,,,,
QB,Tommy Stevens,24,NO,4,500000,-2,50,51,45,45,90,91,48,48,33,33,23,43,36,33,,,,,,,,,
QB,Russell Wilson,32,SEA,4,35000000,-1,73,73,93,93,82,82,88,88,92,92,96,76,87,92,,,,,,,,,
QB,Anthony Gordon,21,SEA,3,500000,-2,46,48,53,55,61,63,67,70,31,32,37,39,34,31,,,,,,,,,
QB,Ben Roethlisbergr,38,PIT,2,16620000,-2,52,52,67,67,78,78,73,73,73,73,84,67,71,73,,,,,,,,,
